"Participant_id","Gender","Women_Protection","Religion_Level","Age","Highest_Edu_Lvl"
63948,0,2,4,52,800
63983,1,4,2,41,610
64013,0,2,0,35,620
64044,0,2,5,56,322
64059,1,2,2,58,720
64076,1,3,0,66,720
64114,1,3,10,82,322
64117,0,1,7,52,710
64171,1,3,4,33,322
64174,1,5,0,57,322
64183,1,2,0,86,423
64202,1,2,1,83,322
64221,1,2,8,53,322
64235,0,2,3,45,322
64257,1,3,0,40,322
64261,1,2,5,75,322
64264,1,2,3,29,423
64268,1,3,5,81,322
64298,0,2,6,63,322
64304,0,2,0,52,322
64343,0,3,1,61,322
64367,1,3,5,67,313
64431,1,1,10,81,610
64446,0,2,0,63,322
64447,1,2,4,23,313
64465,1,1,9,73,322
64475,0,2,4,56,322
64476,1,3,3,64,423
64485,0,2,0,19,213
64491,1,3,9,75,212
64498,1,3,2,23,212
64517,0,2,7,71,322
64547,1,2,3,46,313
64548,1,2,2,80,423
64557,1,2,9,67,620
64594,0,3,1,41,212
64598,1,1,7,56,322
64609,1,3,2,15,213
64618,0,3,5,59,620
64634,1,2,5,75,710
64668,1,2,5,53,710
64681,1,2,4,54,610
64682,1,3,5,47,322
64710,1,2,0,61,423
64714,0,3,0,22,313
64725,1,2,5,62,422
64735,0,2,0,32,322
64754,1,3,4,32,212
64782,0,2,0,25,322
64786,1,3,4,45,322
64800,0,2,5,30,212
64845,0,2,7,63,710
64850,0,3,4,82,322
64864,1,4,8,70,610
64867,1,2,7,33,423
64882,1,2,6,63,322
64901,0,2,6,83,322
64909,0,2,1,89,423
64925,0,2,5,64,322
64933,1,4,10,53,720
64936,0,2,2,64,322
64937,0,2,3,90,322
64970,1,3,6,53,322
65005,0,5,0,52,322
65012,1,2,8,54,313
65018,1,2,5,63,322
65019,1,3,7,31,322
65027,0,2,3,52,322
65033,0,3,5,26,610
65034,1,2,8,50,313
65052,1,2,4,86,322
65057,0,3,8,60,322
65076,0,2,5,26,322
65081,1,1,7,24,322
65106,1,1,10,77,212
65119,0,2,2,37,322
65174,1,2,5,53,322
65194,1,4,6,86,610
65201,0,3,7,56,322
65263,1,1,10,81,322
65267,1,3,4,55,322
65272,1,3,3,52,322
65288,0,3,3,53,322
65292,0,2,5,58,322
65307,0,2,6,73,212
65351,1,1,5,66,720
65352,0,2,3,33,620
65360,1,3,0,48,422
65362,0,2,0,75,423
65376,0,3,0,27,313
65380,1,2,10,47,423
65383,1,2,4,73,322
65409,1,3,5,75,212
65424,1,3,10,47,322
65428,0,2,2,46,5555
65453,0,2,3,71,322
65471,1,2,6,39,212
65472,0,3,6,57,322
65473,1,3,5,65,322
65480,0,2,4,34,423
65486,1,3,4,62,212
65528,0,2,0,55,212
65549,1,3,8,71,322
65569,1,3,4,82,322
65583,0,2,0,80,322
65592,1,3,5,52,322
65606,1,2,6,60,212
65618,0,4,3,85,322
65619,0,1,0,74,322
65624,1,1,6,80,800
65644,1,2,5,77,313
65662,0,2,5,26,720
65690,1,2,0,23,322
65728,0,2,8,78,322
65739,1,2,10,66,322
65748,0,3,1,22,322
65790,0,3,0,64,322
65801,0,2,8,65,720
65810,1,2,6,67,212
65815,0,3,3,58,322
65816,0,3,2,44,322
65817,1,1,4,66,322
65828,1,3,0,30,313
65845,1,2,6,47,322
65872,0,4,8,59,322
65905,0,3,3,25,313
65962,0,4,0,34,313
65973,0,2,2,43,520
66001,1,2,10,64,322
66016,0,2,2,47,313
66021,1,2,5,61,422
66024,1,2,5,64,322
66049,0,2,2,49,423
66056,1,2,5,31,620
66060,1,4,5,87,610
66063,0,2,2,78,322
66073,1,2,7,70,322
66118,0,4,5,50,313
66119,1,3,6,85,322
66128,1,3,5,25,322
66130,0,2,6,56,322
66185,1,3,3,54,423
66186,1,1,7,82,322
66208,1,3,0,36,423
66211,1,2,8,75,322
66230,1,2,9,79,212
66234,0,3,77,66,322
66251,0,3,6,37,423
66267,1,2,8,74,212
66298,0,2,6,38,212
66318,1,4,9,59,0
66343,1,2,7,75,322
66362,1,4,1,80,610
66374,1,5,0,50,720
66391,1,4,3,65,313
66438,1,1,8,16,212
66444,0,1,8,24,313
66454,1,2,7,71,212
66500,1,2,3,74,322
66538,1,2,7,55,322
66554,1,2,3,77,322
66571,1,3,5,52,720
66598,0,4,1,64,313
66600,0,2,8,82,610
66639,1,1,7,56,322
66650,1,3,9,48,422
66651,1,4,5,55,313
66679,1,3,6,25,322
66683,1,2,4,67,610
66710,0,2,3,46,322
66739,0,4,9,90,322
66742,0,3,2,31,423
66763,1,2,0,55,313
66792,1,3,2,40,322
66799,1,2,7,86,322
66805,1,3,5,64,322
